"Frase","Encuestado","Nivel_énfasis","Respuesta_Posición","Respuesta_Posición_Acierto","Respuesta_naturalidad","Posicion_enunciado","Número_sílabas"
"F02","96767581","3","sal","1","5","1","1"
"F02","96772982","3","sal","1","2","1","1"
"F02","96844645","3","sal","1","4","1","1"
"F02","96854052","3","sal","1","3","1","1"
"F02","96855312","3","sal","1","4","1","1"
"F02","96870111","3","sal","1","3","1","1"
"F02","96877986","3","sal","1","2","1","1"
"F02","96945124","3","sal","1","3","1","1"
"F02","96950656","3","sal","1","2","1","1"
"F02","96987671","3","sal","1","2","1","1"
"F02","97016368","3","sal","1","4","1","1"
"F02","97085639","3","sal","1","4","1","1"
"F02","97295827","3","sal","1","5","1","1"
"F02","97313901","3","sal","1","5","1","1"
"F02","97409849","3","sal","1","4","1","1"
"F02","97446121","3","sal","1","3","1","1"
"F02","97591839","3","sal","1","2","1","1"
"F02","97687890","3","sal","1","4","1","1"
"F02","97688849","3","sal","1","4","1","1"
"F02","97725741","3","sal","1","4","1","1"
"F02","97741500","3","sal","1","4","1","1"
"F02","97762542","3","sal","1","4","1","1"
"F02","97836262","3","sal","1","5","1","1"
"F02","97847023","3","sal","1","5","1","1"
"F02","97913702","3","sal","1","3","1","1"
"F02","98928867","3","sal","1","4","1","1"
"F02","98929451","3","sal","1","3","1","1"
"F03","96372450","3","nunca","1","4","1","2"
"F03","96419652","3","Ninguna de las anteriores","0","5","1","2"
"F03","96520359","3","nunca","1","4","1","2"
"F03","96527672","3","Ninguna de las anteriores","0","4","1","2"
"F03","96540700","3","nunca","1","3","1","2"
"F03","96603178","3","nunca","1","3","1","2"
"F03","96606089","3","nunca","1","4","1","2"
"F03","96615914","3","nunca","1","3","1","2"
"F03","96620145","3","hermanos","0","4","1","2"
"F03","96621195","3","nunca","1","4","1","2"
"F03","96632274","3","nunca","1","2","1","2"
"F03","96634147","3","nunca","1","3","1","2"
"F03","96636044","3","nunca","1","3","1","2"
"F03","96656784","3","nunca","1","5","1","2"
"F03","96657675","3","nunca","1","3","1","2"
"F03","96660080","3","nunca","1","3","1","2"
"F03","96690215","3","nunca","1","3","1","2"
"F03","96714607","3","nunca","1","2","1","2"
"F03","96734578","3","nunca","1","4","1","2"
"F03","96738448","3","nunca","1","4","1","2"
"F03","96739237","3","Ninguna de las anteriores","0","4","1","2"
"F03","96767581","3","hermanos","0","4","1","2"
"F03","96772982","3","nunca","1","4","1","2"
"F03","96844645","3","nunca","1","4","1","2"
"F03","96854052","3","nunca","1","3","1","2"
"F03","96855312","3","nunca","1","4","1","2"
"F03","96870111","3","nunca","1","4","1","2"
"F03","96877986","3","nunca","1","2","1","2"
"F03","96945124","3","nunca","1","3","1","2"
"F03","96950656","3","nunca","1","2","1","2"
"F03","96987671","3","nunca","1","3","1","2"
"F03","97016368","3","nunca","1","2","1","2"
"F03","97085639","3","nunca","1","3","1","2"
"F03","97295827","3","nunca","1","4","1","2"
"F03","97313901","3","nunca","1","4","1","2"
"F03","97409849","3","nunca","1","1","1","2"
"F03","97446121","3","Ninguna de las anteriores","0","4","1","2"
"F03","97591839","3","nunca","1","2","1","2"
"F03","97687890","3","nunca","1","4","1","2"
"F03","97688849","3","nunca","1","4","1","2"
"F03","97725741","3","nunca","1","4","1","2"
"F03","97741500","3","hermanos","0","4","1","2"
"F03","97762542","3","nunca","1","2","1","2"
"F03","97836262","3","nunca","1","4","1","2"
"F03","97847023","3","nunca","1","4","1","2"
"F03","97913702","3","Ninguna de las anteriores","0","1","1","2"
"F03","98928867","3","nunca","1","3","1","2"
"F03","98929451","3","nunca","1","4","1","2"
"F04","96372450","3","danza","1","3","1","2"
"F04","96419652","3","danza","1","3","1","2"
"F04","96520359","3","danza","1","1","1","2"
"F04","96527672","3","danza","1","2","1","2"
"F04","96540700","3","danza","1","3","1","2"
"F04","96603178","3","danza","1","4","1","2"
"F04","96606089","3","danza","1","4","1","2"
"F04","96615914","3","danza","1","2","1","2"
"F04","96620145","3","danza","1","4","1","2"
"F04","96621195","3","danza","1","3","1","2"
"F04","96632274","3","Ninguna de las anteriores","0","4","1","2"
"F04","96634147","3","danza","1","3","1","2"
"F04","96636044","3","danza","1","2","1","2"
"F04","96656784","3","danza","1","4","1","2"
"F04","96657675","3","danza","1","4","1","2"
"F04","96660080","3","danza","1","3","1","2"
"F04","96690215","3","danza","1","3","1","2"
"F04","96714607","3","danza","1","2","1","2"
"F04","96734578","3","danza","1","3","1","2"
"F04","96738448","3","danza","1","2","1","2"
"F04","96739237","3","danza","1","3","1","2"
"F04","96767581","3","danza","1","5","1","2"
"F04","96772982","3","danza","1","2","1","2"
"F04","96844645","3","danza","1","4","1","2"
"F04","96854052","3","danza","1","3","1","2"
"F04","96855312","3","danza","1","4","1","2"
"F04","96870111","3","danza","1","3","1","2"
"F04","96877986","3","danza","1","2","1","2"
"F04","96945124","3","danza","1","3","1","2"
"F04","96950656","3","danza","1","3","1","2"
"F04","96987671","3","danza","1","3","1","2"
"F04","97016368","3","danza","1","1","1","2"
"F04","97085639","3","danza","1","2","1","2"
"F04","97295827","3","danza","1","4","1","2"
"F04","97313901","3","danza","1","3","1","2"
"F04","97409849","3","danza","1","2","1","2"
"F04","97446121","3","danza","1","3","1","2"
"F04","97591839","3","danza","1","2","1","2"
"F04","97687890","3","danza","1","4","1","2"
"F04","97688849","3","danza","1","3","1","2"
"F04","97725741","3","danza","1","4","1","2"
"F04","97741500","3","danza","1","2","1","2"
"F04","97762542","3","danza","1","4","1","2"
"F04","97836262","3","danza","1","5","1","2"
"F04","97847023","3","danza","1","4","1","2"
"F04","97913702","3","danza","1","2","1","2"
"F04","98928867","3","danza","1","3","1","2"
"F04","98929451","3","danza","1","3","1","2"
"F05","96372450","3","adoro","1","4","1","3"
"F05","96419652","3","Ninguna de las anteriores","0","5","1","3"
"F05","96520359","3","adoro","1","4","1","3"
"F05","96527672","3","Ninguna de las anteriores","0","5","1","3"
"F05","96540700","3","adoro","1","4","1","3"
"F05","96603178","3","Ninguna de las anteriores","0","5","1","3"
"F05","96606089","3","adoro","1","4","1","3"
"F05","96615914","3","adoro","1","4","1","3"
"F05","96620145","3","adoro","1","4","1","3"
"F05","96621195","3","adoro","1","4","1","3"
"F05","96632274","3","Ninguna de las anteriores","0","4","1","3"
"F05","96634147","3","adoro","1","3","1","3"
"F05","96636044","3","adoro","1","4","1","3"
"F05","96656784","3","adoro","1","5","1","3"
"F05","96657675","3","adoro","1","4","1","3"
"F05","96660080","3","Ninguna de las anteriores","0","5","1","3"
"F05","96690215","3","adoro","1","3","1","3"
"F05","96714607","3","adoro","1","3","1","3"
"F05","96734578","3","adoro","1","5","1","3"
"F05","96738448","3","adoro","1","5","1","3"
"F05","96739237","3","Ninguna de las anteriores","0","5","1","3"
"F05","96767581","3","Ninguna de las anteriores","0","5","1","3"
"F05","96772982","3","adoro","1","5","1","3"
"F05","96844645","3","Ninguna de las anteriores","0","4","1","3"
"F05","96854052","3","adoro","1","4","1","3"
"F05","96855312","3","adoro","1","5","1","3"
"F05","96870111","3","adoro","1","4","1","3"
"F05","96877986","3","adoro","1","4","1","3"
"F05","96945124","3","adoro","1","3","1","3"
"F05","96950656","3","adoro","1","3","1","3"
"F05","96987671","3","Ninguna de las anteriores","0","5","1","3"
"F05","97016368","3","adoro","1","3","1","3"
"F05","97085639","3","Ninguna de las anteriores","0","4","1","3"
"F05","97295827","3","adoro","1","4","1","3"
"F05","97313901","3","adoro","1","4","1","3"
"F05","97409849","3","adoro","1","5","1","3"
"F05","97446121","3","adoro","1","3","1","3"
"F05","97591839","3","adoro","1","2","1","3"
"F05","97687890","3","adoro","1","4","1","3"
"F05","97688849","3","adoro","1","5","1","3"
"F05","97725741","3","adoro","1","4","1","3"
"F05","97741500","3","adoro","1","4","1","3"
"F05","97762542","3","adoro","1","4","1","3"
"F05","97836262","3","adoro","1","4","1","3"
"F05","97847023","3","Ninguna de las anteriores","0","4","1","3"
"F05","97913702","3","Ninguna de las anteriores","0","5","1","3"
"F05","98928867","3","Ninguna de las anteriores","0","4","1","3"
"F05","98929451","3","adoro","1","4","1","3"
"F06","96372450","3","líbrate","1","4","1","3"
"F06","96419652","3","Ninguna de las anteriores","0","5","1","3"
"F06","96520359","3","líbrate","1","3","1","3"
"F06","96527672","3","Ninguna de las anteriores","0","5","1","3"
"F06","96540700","3","líbrate","1","4","1","3"
"F06","96603178","3","líbrate","1","4","1","3"
"F06","96606089","3","líbrate","1","4","1","3"
"F06","96615914","3","líbrate","1","2","1","3"
"F06","96620145","3","líbrate","1","3","1","3"
"F06","96621195","3","líbrate","1","4","1","3"
"F06","96632274","3","líbrate","1","4","1","3"
"F06","96634147","3","líbrate","1","3","1","3"
"F06","96636044","3","líbrate","1","2","1","3"
"F06","96656784","3","líbrate","1","5","1","3"
"F06","96657675","3","líbrate","1","3","1","3"
"F06","96660080","3","líbrate","1","2","1","3"
"F06","96690215","3","líbrate","1","3","1","3"
"F06","96714607","3","líbrate","1","2","1","3"
"F06","96734578","3","líbrate","1","4","1","3"
"F06","96738448","3","líbrate","1","2","1","3"
"F06","96739237","3","líbrate","1","4","1","3"
"F06","96767581","3","líbrate","1","5","1","3"
"F06","96772982","3","mensajes","0","2","1","3"
"F06","96844645","3","líbrate","1","4","1","3"
"F06","96854052","3","líbrate","1","4","1","3"
"F06","96855312","3","líbrate","1","5","1","3"
"F06","96870111","3","líbrate","1","5","1","3"
"F06","96877986","3","líbrate","1","2","1","3"
"F06","96945124","3","líbrate","1","4","1","3"
"F06","96950656","3","líbrate","1","3","1","3"
"F06","96987671","3","líbrate","1","2","1","3"
"F06","97016368","3","líbrate","1","3","1","3"
"F06","97085639","3","líbrate","1","2","1","3"
"F06","97295827","3","molestos","0","4","1","3"
"F06","97313901","3","líbrate","1","4","1","3"
"F06","97409849","3","líbrate","1","4","1","3"
"F06","97446121","3","Ninguna de las anteriores","0","4","1","3"
"F06","97591839","3","líbrate","1","3","1","3"
"F06","97687890","3","líbrate","1","4","1","3"
"F06","97688849","3","líbrate","1","4","1","3"
"F06","97725741","3","líbrate","1","4","1","3"
"F06","97741500","3","líbrate","1","3","1","3"
"F06","97762542","3","líbrate","1","4","1","3"
"F06","97836262","3","líbrate","1","5","1","3"
"F06","97847023","3","líbrate","1","4","1","3"
"F06","97913702","3","líbrate","1","3","1","3"
"F06","98928867","3","líbrate","1","3","1","3"
"F06","98929451","3","líbrate","1","4","1","3"
"F07","96372450","3","muy","1","3","2","1"
"F07","96419652","3","muy","1","3","2","1"
"F07","96520359","3","muy","1","1","2","1"
"F07","96527672","3","muy","1","3","2","1"
"F07","96540700","3","muy","1","3","2","1"
"F07","96603178","3","muy","1","3","2","1"
"F07","96606089","3","muy","1","2","2","1"
"F07","96615914","3","muy","1","1","2","1"
"F07","96620145","3","Ninguna de las anteriores","0","3","2","1"
"F07","96621195","3","muy","1","3","2","1"
"F07","96632274","3","muy","1","1","2","1"
"F07","96634147","3","muy","1","2","2","1"
"F07","96636044","3","muy","1","2","2","1"
"F07","96656784","3","Ninguna de las anteriores","0","4","2","1"
"F07","96657675","3","muy","1","3","2","1"
"F07","96660080","3","muy","1","3","2","1"
"F07","96690215","3","muy","1","2","2","1"
"F07","96714607","3","extraño","0","1","2","1"
"F07","96734578","3","muy","1","4","2","1"
"F07","96738448","3","muy","1","3","2","1"
"F07","96739237","3","muy","1","3","2","1"
"F07","96767581","3","Ninguna de las anteriores","0","5","2","1"
"F07","96772982","3","muy","1","2","2","1"
"F07","96844645","3","Ninguna de las anteriores","0","2","2","1"
"F07","96854052","3","muy","1","2","2","1"
"F07","96855312","3","muy","1","4","2","1"
"F07","96870111","3","muy","1","3","2","1"
"F07","96877986","3","muy","1","3","2","1"
"F07","96945124","3","muy","1","3","2","1"
"F07","96950656","3","muy","1","1","2","1"
"F07","96987671","3","muy","1","3","2","1"
"F07","97016368","3","nuevo","0","3","2","1"
"F07","97085639","3","Ninguna de las anteriores","0","2","2","1"
"F07","97295827","3","muy","1","2","2","1"
"F07","97313901","3","muy","1","3","2","1"
"F07","97409849","3","muy","1","2","2","1"
"F07","97446121","3","muy","1","3","2","1"
"F07","97591839","3","Ninguna de las anteriores","0","2","2","1"
"F07","97687890","3","muy","1","4","2","1"
"F07","97688849","3","muy","1","3","2","1"
"F07","97725741","3","muy","1","4","2","1"
"F07","97741500","3","muy","1","2","2","1"
"F07","97762542","3","muy","1","3","2","1"
"F07","97836262","3","muy","1","3","2","1"
"F07","97847023","3","muy","1","4","2","1"
"F07","97913702","3","muy","1","2","2","1"
"F07","98928867","3","muy","1","3","2","1"
"F07","98929451","3","muy","1","3","2","1"
"F08","96372450","3","voz","1","4","2","1"
"F08","96419652","3","Ninguna de las anteriores","0","5","2","1"
"F08","96520359","3","tiene","0","4","2","1"
"F08","96527672","3","maravillosa","0","5","2","1"
"F08","96540700","3","Ninguna de las anteriores","0","5","2","1"
"F08","96603178","3","Ninguna de las anteriores","0","5","2","1"
"F08","96606089","3","voz","1","3","2","1"
"F08","96615914","3","Ninguna de las anteriores","0","4","2","1"
"F08","96620145","3","Ninguna de las anteriores","0","4","2","1"
"F08","96621195","3","Ninguna de las anteriores","0","5","2","1"
"F08","96632274","3","Ninguna de las anteriores","0","5","2","1"
"F08","96634147","3","voz","1","3","2","1"
"F08","96636044","3","Ninguna de las anteriores","0","4","2","1"
"F08","96656784","3","Ninguna de las anteriores","0","4","2","1"
"F08","96657675","3","maravillosa","0","5","2","1"
"F08","96660080","3","Ninguna de las anteriores","0","4","2","1"
"F08","96690215","3","Ninguna de las anteriores","0","4","2","1"
"F08","96714607","3","voz","1","4","2","1"
"F08","96734578","3","maravillosa","0","4","2","1"
"F08","96738448","3","voz","1","5","2","1"
"F08","96739237","3","Ninguna de las anteriores","0","4","2","1"
"F08","96767581","3","Ninguna de las anteriores","0","5","2","1"
"F08","96772982","3","tiene","0","3","2","1"
"F08","96844645","3","Ninguna de las anteriores","0","4","2","1"
"F08","96854052","3","tiene","0","3","2","1"
"F08","96855312","3","Ninguna de las anteriores","0","5","2","1"
"F08","96870111","3","maravillosa","0","5","2","1"
"F08","96877986","3","Ninguna de las anteriores","0","5","2","1"
"F08","96945124","3","voz","1","3","2","1"
"F08","96950656","3","voz","1","4","2","1"
"F08","96987671","3","Ninguna de las anteriores","0","4","2","1"
"F08","97016368","3","voz","1","3","2","1"
"F08","97085639","3","Ninguna de las anteriores","0","4","2","1"
"F08","97295827","3","maravillosa","0","4","2","1"
"F08","97313901","3","voz","1","4","2","1"
"F08","97409849","3","voz","1","4","2","1"
"F08","97446121","3","Ninguna de las anteriores","0","4","2","1"
"F08","97591839","3","Ninguna de las anteriores","0","4","2","1"
"F08","97687890","3","maravillosa","0","4","2","1"
"F08","97688849","3","Ninguna de las anteriores","0","2","2","1"
"F08","97725741","3","voz","1","4","2","1"
"F08","97741500","3","maravillosa","0","4","2","1"
"F08","97762542","3","Ninguna de las anteriores","0","4","2","1"
"F08","97836262","3","voz","1","4","2","1"
"F08","97847023","3","voz","1","4","2","1"
"F08","97913702","3","Ninguna de las anteriores","0","5","2","1"
"F08","98928867","3","voz","1","3","2","1"
"F08","98929451","3","voz","1","4","2","1"
"F09","96372450","3","Ninguna de las anteriores","0","4","2","2"
"F09","96419652","3","lloran","1","3","2","2"
"F09","96520359","3","lloran","1","4","2","2"
"F09","96527672","3","Ninguna de las anteriores","0","5","2","2"
"F09","96540700","3","Ninguna de las anteriores","0","4","2","2"
"F09","96603178","3","lloran","1","4","2","2"
"F09","96606089","3","lloran","1","2","2","2"
"F09","96615914","3","Ninguna de las anteriores","0","4","2","2"
"F09","96620145","3","lloran","1","3","2","2"
"F09","96621195","3","Ninguna de las anteriores","0","4","2","2"
"F09","96632274","3","Ninguna de las anteriores","0","4","2","2"
"F09","96634147","3","lloran","1","3","2","2"
"F09","96636044","3","lloran","1","2","2","2"
"F09","96656784","3","niños","0","4","2","2"
"F09","96657675","3","lloran","1","4","2","2"
"F09","96660080","3","Ninguna de las anteriores","0","5","2","2"
"F09","96690215","3","Ninguna de las anteriores","0","4","2","2"
"F09","96714607","3","Ninguna de las anteriores","0","1","2","2"
"F09","96734578","3","horas","0","4","2","2"
"F09","96738448","3","lloran","1","4","2","2"
"F09","96739237","3","lloran","1","4","2","2"
"F09","96767581","3","Ninguna de las anteriores","0","5","2","2"
"F09","96772982","3","niños","0","3","2","2"
"F09","96844645","3","lloran","1","4","2","2"
"F09","96854052","3","niños","0","3","2","2"
"F09","96855312","3","Ninguna de las anteriores","0","5","2","2"
"F09","96870111","3","niños","0","4","2","2"
"F09","96877986","3","lloran","1","4","2","2"
"F09","96945124","3","lloran","1","3","2","2"
"F09","96950656","3","lloran","1","3","2","2"
"F09","96987671","3","Ninguna de las anteriores","0","4","2","2"
"F09","97016368","3","lloran","1","3","2","2"
"F09","97085639","3","Ninguna de las anteriores","0","5","2","2"
"F09","97295827","3","Ninguna de las anteriores","0","4","2","2"
"F09","97313901","3","Ninguna de las anteriores","0","4","2","2"
"F09","97409849","3","lloran","1","4","2","2"
"F09","97446121","3","lloran","1","3","2","2"
"F09","97591839","3","Ninguna de las anteriores","0","3","2","2"
"F09","97687890","3","lloran","1","4","2","2"
"F09","97688849","3","niños","0","3","2","2"
"F09","97725741","3","horas","0","4","2","2"
"F09","97741500","3","lloran","1","4","2","2"
"F09","97762542","3","Ninguna de las anteriores","0","2","2","2"
"F09","97836262","3","lloran","1","3","2","2"
"F09","97847023","3","lloran","1","4","2","2"
"F09","97913702","3","Ninguna de las anteriores","0","3","2","2"
"F09","98928867","3","Ninguna de las anteriores","0","4","2","2"
"F09","98929451","3","Ninguna de las anteriores","0","4","2","2"
"F10","96372450","3","Ninguna de las anteriores","0","4","2","2"
"F10","96419652","3","Ninguna de las anteriores","0","5","2","2"
"F10","96520359","3","siempre","1","4","2","2"
"F10","96527672","3","Ninguna de las anteriores","0","4","2","2"
"F10","96540700","3","Ninguna de las anteriores","0","5","2","2"
"F10","96603178","3","Ninguna de las anteriores","0","5","2","2"
"F10","96606089","3","siempre","1","4","2","2"
"F10","96615914","3","Ninguna de las anteriores","0","4","2","2"
"F10","96620145","3","mueve","0","2","2","2"
"F10","96621195","3","Ninguna de las anteriores","0","4","2","2"
"F10","96632274","3","siempre","1","4","2","2"
"F10","96634147","3","Ninguna de las anteriores","0","3","2","2"
"F10","96636044","3","Ninguna de las anteriores","0","5","2","2"
"F10","96656784","3","siempre","1","4","2","2"
"F10","96657675","3","siempre","1","4","2","2"
"F10","96660080","3","Ninguna de las anteriores","0","4","2","2"
"F10","96690215","3","Ninguna de las anteriores","0","4","2","2"
"F10","96714607","3","mueve","0","2","2","2"
"F10","96734578","3","Ninguna de las anteriores","0","5","2","2"
"F10","96738448","3","siempre","1","5","2","2"
"F10","96739237","3","Ninguna de las anteriores","0","5","2","2"
"F10","96767581","3","Ninguna de las anteriores","0","4","2","2"
"F10","96772982","3","siempre","1","3","2","2"
"F10","96844645","3","siempre","1","4","2","2"
"F10","96854052","3","siempre","1","3","2","2"
"F10","96855312","3","siempre","1","5","2","2"
"F10","96870111","3","siempre","1","4","2","2"
"F10","96877986","3","Ninguna de las anteriores","0","5","2","2"
"F10","96945124","3","siempre","1","3","2","2"
"F10","96950656","3","Ninguna de las anteriores","0","2","2","2"
"F10","96987671","3","Ninguna de las anteriores","0","5","2","2"
"F10","97016368","3","Ninguna de las anteriores","0","2","2","2"
"F10","97085639","3","Ninguna de las anteriores","0","4","2","2"
"F10","97295827","3","Ninguna de las anteriores","0","4","2","2"
"F10","97313901","3","siempre","1","4","2","2"
"F10","97409849","3","siempre","1","2","2","2"
"F10","97446121","3","Ninguna de las anteriores","0","4","2","2"
"F10","97591839","3","Ninguna de las anteriores","0","4","2","2"
"F10","97687890","3","siempre","1","4","2","2"
"F10","97688849","3","siempre","1","5","2","2"
"F10","97725741","3","Ninguna de las anteriores","0","4","2","2"
"F10","97741500","3","Ninguna de las anteriores","0","4","2","2"
"F10","97762542","3","siempre","1","4","2","2"
"F10","97836262","3","Ninguna de las anteriores","0","3","2","2"
"F10","97847023","3","siempre","1","4","2","2"
"F10","97913702","3","Ninguna de las anteriores","0","2","2","2"
"F10","98928867","3","siempre","1","3","2","2"
"F10","98929451","3","siempre","1","4","2","2"
"F11","96372450","3","brillaron","1","4","2","3"
"F11","96419652","3","brillaron","1","5","2","3"
"F11","96520359","3","brillaron","1","5","2","3"
"F11","96527672","3","brillaron","1","4","2","3"
"F11","96540700","3","brillaron","1","5","2","3"
"F11","96603178","3","brillaron","1","4","2","3"
"F11","96606089","3","brillaron","1","4","2","3"
"F11","96615914","3","brillaron","1","4","2","3"
"F11","96620145","3","brillaron","1","3","2","3"
"F11","96621195","3","brillaron","1","5","2","3"
"F11","96632274","3","brillaron","1","5","2","3"
"F11","96634147","3","brillaron","1","3","2","3"
"F11","96636044","3","brillaron","1","3","2","3"
"F11","96656784","3","brillaron","1","4","2","3"
"F11","96657675","3","brillaron","1","4","2","3"
"F11","96660080","3","brillaron","1","4","2","3"
"F11","96690215","3","Ninguna de las anteriores","0","4","2","3"
"F11","96714607","3","brillaron","1","2","2","3"
"F11","96734578","3","bailarines","0","5","2","3"
"F11","96738448","3","brillaron","1","3","2","3"
"F11","96739237","3","brillaron","1","3","2","3"
"F11","96767581","3","Ninguna de las anteriores","0","4","2","3"
"F11","96772982","3","brillaron","1","3","2","3"
"F11","96844645","3","Ninguna de las anteriores","0","5","2","3"
"F11","96854052","3","brillaron","1","4","2","3"
"F11","96855312","3","brillaron","1","5","2","3"
"F11","96870111","3","brillaron","1","4","2","3"
"F11","96877986","3","brillaron","1","5","2","3"
"F11","96945124","3","brillaron","1","4","2","3"
"F11","96950656","3","brillaron","1","3","2","3"
"F11","96987671","3","brillaron","1","4","2","3"
"F11","97016368","3","brillaron","1","3","2","3"
"F11","97085639","3","bailarines","0","4","2","3"
"F11","97295827","3","brillaron","1","4","2","3"
"F11","97313901","3","brillaron","1","4","2","3"
"F11","97409849","3","brillaron","1","5","2","3"
"F11","97446121","3","Ninguna de las anteriores","0","4","2","3"
"F11","97591839","3","brillaron","1","4","2","3"
"F11","97687890","3","brillaron","1","4","2","3"
"F11","97688849","3","brillaron","1","5","2","3"
"F11","97725741","3","brillaron","1","4","2","3"
"F11","97741500","3","brillaron","1","5","2","3"
"F11","97762542","3","brillaron","1","4","2","3"
"F11","97836262","3","brillaron","1","5","2","3"
"F11","97847023","3","brillaron","1","4","2","3"
"F11","97913702","3","brillaron","1","5","2","3"
"F11","98928867","3","brillaron","1","3","2","3"
"F11","98929451","3","brillaron","1","4","2","3"
"F12","96372450","3","Ninguna de las anteriores","0","4","2","3"
"F12","96419652","3","Ninguna de las anteriores","0","5","2","3"
"F12","96520359","3","muela","0","5","2","3"
"F12","96527672","3","Ninguna de las anteriores","0","4","2","3"
"F12","96540700","3","muela","0","3","2","3"
"F12","96603178","3","Ninguna de las anteriores","0","5","2","3"
"F12","96606089","3","muela","0","4","2","3"
"F12","96615914","3","Ninguna de las anteriores","0","5","2","3"
"F12","96620145","3","muela","0","4","2","3"
"F12","96621195","3","muela","0","3","2","3"
"F12","96632274","3","Ninguna de las anteriores","0","3","2","3"
"F12","96634147","3","muela","0","3","2","3"
"F12","96636044","3","Ninguna de las anteriores","0","4","2","3"
"F12","96656784","3","Ninguna de las anteriores","0","5","2","3"
"F12","96657675","3","muela","0","4","2","3"
"F12","96660080","3","Ninguna de las anteriores","0","4","2","3"
"F12","96690215","3","Ninguna de las anteriores","0","3","2","3"
"F12","96714607","3","muela","0","2","2","3"
"F12","96734578","3","muela","0","4","2","3"
"F12","96738448","3","Ninguna de las anteriores","0","5","2","3"
"F12","96739237","3","Ninguna de las anteriores","0","5","2","3"
"F12","96767581","3","Ninguna de las anteriores","0","5","2","3"
"F12","96772982","3","muela","0","3","2","3"
"F12","96844645","3","Ninguna de las anteriores","0","2","2","3"
"F12","96854052","3","muela","0","3","2","3"
"F12","96855312","3","Ninguna de las anteriores","0","5","2","3"
"F12","96870111","3","muela","0","4","2","3"
"F12","96877986","3","Ninguna de las anteriores","0","5","2","3"
"F12","96945124","3","muela","0","2","2","3"
"F12","96950656","3","muela","0","3","2","3"
"F12","96987671","3","Ninguna de las anteriores","0","4","2","3"
"F12","97016368","3","muela","0","3","2","3"
"F12","97085639","3","Ninguna de las anteriores","0","2","2","3"
"F12","97295827","3","Ninguna de las anteriores","0","4","2","3"
